nom,alias,baixes
"Blascovitz"," ( @en_sharp )","0"
"Laura Qwerty"," ( @LauraQwerty_ )","0"
"Alex V."," ( @JainkoAteoa )","0"
"Aureoloss - El Meme Master"," ( @ovonesix )","0"
"EnormousBlackDildo"," ( @Rigoberto_III )","0"
"Sandro Bortolotti","","0"
"Quasar"," ( @qsr711 )","0"
"Big oof"," ( @ThunderUsed )","0"
"Satán"," ( @seitnist )","0"
"ArrozArea51"," ( @zRoz14 )","0"
"Català AltaDefinició"," ( @CatalaHD )","0"
"Carla"," ( @maya8carla )","0"
"AlienFumeta","","0"
"Arnau Marquez","","0"
"Tomasz SzGu"," ( @TomaszSzeliga )","0"
"Joel AKA Chavalada"," ( @Jowi_99 )","0"
"TitoVizonte"," ( @Tito_Vizonte )","0"
"Pugdemon el pelucas"," ( @_rxbxn )","0"
"Santi"," ( @SantiVG_99 )","0"
"Jack el Destripador"," ( @JackArcanMiller )","0"
"Anabel"," ( @OnlyDreamAgain )","0"
"Elamores Picotres <3","","0"
"Rigau III - El Coix","","0"
"Gemma"," ( @magicbllet )","0"
"MrNobody"," ( @NoEnTincPeroEmFeiaIlu )","0"
"AllCatAreAragoneses","","0"
"Joaquín Villena"," ( @EricJoaquin22 )","0"
"Andy"," ( @SiestitaLover )","0"